school,city,county,adm,app,acceptance_rate,app_gpa,adm_gpa
CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,25,93,26.88,3.95,4.2
CLOVIS ONLINE SCHOOL,Clovis,Fresno,0,0,,,
CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,14,42,33.33,3.88,4.3
COACHELLA VALLEY HIGH SCHOOL,Thermal,Riverside,11,53,20.75,3.76,4.14
COALINGA HIGH SCHOOL,Coalinga,Fresno,3,9,33.33,3.75,
COAST UNION HIGH SCHOOL,Cambria,San Luis Obispo,0,0,,,
COBALT INSTITUTE MATH/SCIENCE,Victorville,San Bernardino,4,14,28.57,3.66,
COLFAX HIGH SCHOOL,Colfax,Placer,0,6,0.0,4.02,
COLISEUM COLLEGE PREP ACADEMY,Oakland,Alameda,0,5,0.0,3.8,
COLLEGE BRIDGE ACADEMY,Los Angeles,Los Angeles,0,0,,3.3,
COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa,16,73,21.92,3.98,4.29
COLONY HIGH SCHOOL,Ontario,San Bernardino,5,47,10.64,3.76,4.24
COLTON HIGH SCHOOL,Colton,San Bernardino,6,27,22.22,3.37,
COLUSA HIGH SCHOOL,Colusa,Colusa,0,7,0.0,3.93,
COMMUNITY COLLAB SAGE OAK,Redlands,San Bernardino,0,0,,,
COMPTON SENIOR HIGH SCHOOL,Compton,Los Angeles,0,20,0.0,3.29,3.86
CONCORD HIGH SCHOOL,Concord,Contra Costa,7,21,33.33,3.94,4.27
CONNECTING WATERS CHARTER SCH,Waterford,Stanislaus,0,0,,3.68,
CORCORAN HIGH SCHOOL,Corcoran,Kings,0,13,0.0,3.54,
CORDOVA HIGH SCHOOL,Rancho Cordova,Sacramento,9,19,47.37,3.84,
CORE BUTTE CHARTER SCHOOL,Chico,Butte,0,0,,,
CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,32,102,31.37,3.92,4.22
CORONA HIGH SCHOOL,Corona,Riverside,17,70,24.29,3.76,4.11
CORONADO HIGH SCHOOL,Coronado,San Diego,18,41,43.9,3.81,4.1
COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,3,27,11.11,3.75,4.15
COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,22,60,36.67,4.06,4.25
COVINA HIGH SCHOOL,Covina,Los Angeles,8,31,25.81,3.73,4.27
CRAWFORD HIGH SCHOOL,San Diego,San Diego,22,54,40.74,3.84,4.04
CREATIVE CONNECTIONS ARTS ACAD,North Highlands,Sacramento,0,0,,,
CREDO HIGH SCHOOL,Rohnert Park,Sonoma,0,0,,,
CRENSHAW HIGH SCHOOL,Los Angeles,Los Angeles,6,17,35.29,3.49,
CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,60,195,30.77,3.87,4.22
